2017-10-10 04:46:47 20 捡 5000000
2017-10-10 04:46:49 20 捡 5000000
2017-10-10 04:46:49 20 捡 5000000
2017-10-10 04:46:49 20 捡 5000000
2017-10-10 04:46:50 20 捡 5000000
2017-10-10 04:46:50 20 捡 5000000
2017-10-10 04:46:51 20 捡 5000000
2017-10-10 04:46:51 20 捡 5000000
2017-10-10 04:46:51 20 捡 5000000
2017-10-10 04:46:52 20 捡 5000000
2017-10-10 04:48:22 36 捡 171
2017-10-10 04:48:45 38 捡 101
2017-10-10 04:48:45 38 捡 142
2017-10-10 04:48:45 38 捡 117
2017-10-10 04:54:36 53 死亡 -612517
2017-10-10 04:56:08 53 捡 29400
2017-10-10 04:56:08 53 捡 20700
2017-10-10 04:56:09 53 捡 22350
2017-10-10 04:56:36 53 捡 24600
2017-10-10 04:56:39 53 捡 24900
2017-10-10 04:56:39 53 捡 16650
2017-10-10 04:56:40 53 捡 28650
2017-10-10 04:56:51 53 捡 22050
2017-10-10 04:56:52 53 捡 18750
2017-10-10 04:56:52 53 捡 28950
