2017-10-11 08:31:20 10 Dịch Trạm -1
2017-10-11 08:34:59 15 捡 750
2017-10-11 08:34:59 15 捡 750
2017-10-11 08:34:59 15 捡 750
2017-10-11 08:34:59 15 捡 750
2017-10-11 08:35:00 15 捡 750
2017-10-11 08:36:33 17 捡 53
2017-10-11 08:39:39 23 捡 1875
2017-10-11 08:39:39 23 捡 1875
2017-10-11 08:39:39 23 捡 1875
2017-10-11 08:39:39 23 捡 1875
2017-10-11 08:46:13 35 Dịch Trạm -1
2017-10-11 08:53:43 41 捡 157
2017-10-11 09:05:39 50 Dịch Trạm -1600
2017-10-11 09:11:55 50 Dịch Trạm -1600
2017-10-11 13:13:54 50 Dịch Trạm -1
2017-10-11 13:22:36 60 捡 101
2017-10-11 13:24:07 60 Dịch Trạm -1
2017-10-11 13:37:47 60 捡 6750
2017-10-11 13:37:47 60 捡 6750
2017-10-11 13:37:47 60 捡 6750
2017-10-11 13:37:47 60 捡 6750
2017-10-11 13:37:49 60 捡 6750
2017-10-11 14:13:15 60 Dịch Trạm -1
2017-10-18 07:22:59 60 Dịch Trạm -700
2017-10-18 07:30:48 60 Dịch Trạm -600
2017-10-18 07:31:48 60 Dịch Trạm -1
2017-10-18 09:00:55 60 Dịch Trạm -1300
2017-10-18 09:06:13 60 Dịch Trạm -1600
2017-10-18 09:08:31 60 Dịch Trạm -300
2017-10-18 09:14:33 60 Dịch Trạm -1200
2017-10-18 09:16:27 60 Dịch Trạm -1600
2017-10-18 09:17:24 60 Dịch Trạm -700
2017-10-18 09:18:38 60 Dịch Trạm -1600
2017-10-18 09:22:04 60 Dịch Trạm -1
2017-10-18 21:01:30 60 Dịch Trạm -900
2017-10-18 21:08:30 60 Dịch Trạm -1600
2017-10-18 21:13:36 60 Dịch Trạm -1200
2017-10-18 21:20:04 60 Dịch Trạm -1100
2017-10-18 21:30:30 60 Dịch Trạm -1
2017-10-19 06:58:21 60 Dịch Trạm -1
2017-10-19 07:00:15 60 Dịch Trạm -300
2017-10-19 07:07:25 60 Dịch Trạm -1200
2017-10-19 07:12:59 60 Dịch Trạm -1600
2017-10-19 07:18:02 60 Dịch Trạm -1600
2017-10-19 07:24:16 60 Dịch Trạm -1600
2017-10-19 07:25:58 60 Dịch Trạm -300
2017-10-19 07:30:03 60 Dịch Trạm -1
